id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,standard,dormitory_type,condition_type,construction,basement_status,month,season,waterfront_status,renovated_status,year,year_month,recomendation,sell_price,profit,price_median_region,price_median_season
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,low_standard,house,regular,<1955,no,10,fall,no,no,2014,2014-10,comprar,244090.00000000003,22190.00000000003,279500.0,216500.0
2976800796,2014-09-25,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619,low_standard,house,regular,>1955,no,9,fall,no,no,2014,2014-09,comprar,259600.00000000003,23600.00000000003,279500.0,216500.0
1180003090,2014-09-06,190000.0,2,1.0,630,6000,1.0,0,0,3,6,630,0,1943,2005,98178,47.4973,-122.221,1470,6840,low_standard,apartment,regular,<1955,no,9,fall,no,yes,2014,2014-09,comprar,216500.0,26500.0,279500.0,216500.0
179000350,2014-11-05,194000.0,3,1.5,1010,5000,1.0,0,0,3,6,1010,0,1943,0,98178,47.4925,-122.27799999999999,980,5000,low_standard,house,regular,<1955,no,11,fall,no,no,2014,2014-11,comprar,216500.0,22500.0,279500.0,216500.0
3810000202,2014-09-05,251700.0,3,2.25,1810,11800,1.0,0,0,3,7,1240,570,1977,0,98178,47.4997,-122.23100000000001,1810,5641,low_standard,house,regular,>1955,yes,9,fall,no,no,2014,2014-09,comprar,276870.0,25170.0,279500.0,216500.0
4058802105,2014-09-04,150000.0,3,1.0,1450,6776,1.0,0,0,3,7,1450,0,1952,0,98178,47.5056,-122.244,1680,7200,low_standard,house,regular,<1955,no,9,fall,no,no,2014,2014-09,comprar,195000.0,45000.0,279500.0,216500.0
179003055,2014-11-13,210000.0,3,1.0,1200,7500,1.0,0,0,3,6,1200,0,1905,1989,98178,47.4921,-122.275,1010,7000,low_standard,house,regular,<1955,no,11,fall,no,yes,2014,2014-11,comprar,216500.0,6500.0,279500.0,216500.0
7813200115,2014-09-04,100000.0,2,1.0,790,6426,1.0,0,0,3,6,790,0,1944,0,98178,47.4933,-122.245,1380,6946,low_standard,apartment,regular,<1955,no,9,fall,no,no,2014,2014-09,comprar,130000.0,30000.0,279500.0,216500.0
3352402250,2014-10-21,119900.0,2,1.0,700,3180,1.0,0,0,3,6,480,220,1951,0,98178,47.4976,-122.262,1760,6360,low_standard,apartment,regular,<1955,yes,10,fall,no,no,2014,2014-10,comprar,155870.0,35970.0,279500.0,216500.0
399000195,2014-10-20,200000.0,3,1.0,960,7500,1.0,0,0,3,6,960,0,1953,0,98178,47.4966,-122.255,1250,6000,low_standard,house,regular,<1955,no,10,fall,no,no,2014,2014-10,comprar,216500.0,16500.0,279500.0,216500.0
185000161,2014-10-15,261000.0,3,1.0,1780,7800,1.0,0,0,3,7,1060,720,1957,0,98178,47.4932,-122.26299999999999,1450,7800,low_standard,house,regular,>1955,yes,10,fall,no,no,2014,2014-10,comprar,287100.0,26100.0,279500.0,216500.0
8068000305,2014-11-04,241000.0,3,1.0,1150,10000,1.0,0,0,3,6,1000,150,1951,0,98178,47.5075,-122.262,1340,10000,low_standard,house,regular,<1955,yes,11,fall,no,no,2014,2014-11,comprar,265100.0,24100.0,279500.0,216500.0
